Date,Ticker,Close_Price,Bank
2021-03-01,BMO.TO,86.37,BMO
2021-03-01,CM.TO,46.5,CIBC
2021-03-01,RY.TO,91.22,Royal Bank
2021-03-01,BNS.TO,57.06,Scotiabank
2021-03-01,TD.TO,62.54,TD Bank
2021-03-02,BMO.TO,87.43,BMO
2021-03-02,CM.TO,47.01,CIBC
2021-03-02,RY.TO,91.19,Royal Bank
2021-03-02,BNS.TO,57.88,Scotiabank
2021-03-02,TD.TO,63.03,TD Bank
2021-03-03,BMO.TO,87.36,BMO
2021-03-03,CM.TO,47.5,CIBC
2021-03-03,RY.TO,91.24,Royal Bank
2021-03-03,BNS.TO,58.14,Scotiabank
2021-03-03,TD.TO,63.46,TD Bank
2021-03-04,BMO.TO,86.73,BMO
2021-03-04,CM.TO,47.5,CIBC
2021-03-04,RY.TO,91.34,Royal Bank
2021-03-04,BNS.TO,57.6,Scotiabank
2021-03-04,TD.TO,63.0,TD Bank
2021-03-05,BMO.TO,88.0,BMO
2021-03-05,CM.TO,48.01,CIBC
2021-03-05,RY.TO,93.58,Royal Bank
2021-03-05,BNS.TO,58.48,Scotiabank
2021-03-05,TD.TO,63.94,TD Bank
2021-03-08,BMO.TO,88.64,BMO
2021-03-08,CM.TO,48.24,CIBC
2021-03-08,RY.TO,95.17,Royal Bank
2021-03-08,BNS.TO,58.94,Scotiabank
2021-03-08,TD.TO,64.96,TD Bank
2021-03-09,BMO.TO,88.23,BMO
2021-03-09,CM.TO,48.43,CIBC
2021-03-09,RY.TO,95.01,Royal Bank
2021-03-09,BNS.TO,58.93,Scotiabank
2021-03-09,TD.TO,65.0,TD Bank
2021-03-10,BMO.TO,89.66,BMO
2021-03-10,CM.TO,48.79,CIBC
2021-03-10,RY.TO,96.38,Royal Bank
2021-03-10,BNS.TO,59.73,Scotiabank
2021-03-10,TD.TO,65.25,TD Bank
2021-03-11,BMO.TO,89.32,BMO
2021-03-11,CM.TO,48.58,CIBC
2021-03-11,RY.TO,96.61,Royal Bank
2021-03-11,BNS.TO,59.82,Scotiabank
2021-03-11,TD.TO,65.34,TD Bank
